Y
5.3
2.2
4.0
1.1
4.0
2.0
4.0
3.0
2.6
3.1
2.1
2.1
5.1
1.2
4.1
3.3
4.1
2.1
3.2
4.0
5.1
2.0
2.2
3.0
4.1
8.0
8.7
13.2
11.3
7.2
4.5
8.2
6.6
9.1
9.2
6.7
10.2
12.2
10.6
16.3
13.3
9.2
5.2
6.4
6.2
7.2
8.0
17.2
4.8
12.3
